Police;Montant
1000210188;3518
1000210189;3212
1000210190;1355
1000210191;3194
1000210192;23726
1000210193;5931
1000210194;10214
1000210195;5021
1000210196;90
1000210197;515
1000210198;8462
1000210199;5447
1000210200;3086
1000210201;2469
1000210202;8344
1000210203;17900
1000210204;66
1000210205;13350
1000210206;6883
1000210208;10487
1000210209;5719
1000210210;3620
1000210211;765
1000210212;3266
1000210213;745676
1000210214;11607
1000210215;14657
1000210216;6562
1000210217;24940
1000210218;33578
1000210219;24045
1000210220;2374
1000210221;1904
1000210223;2503
1000210224;19
1000210225;50
1000210226;3298
1000210227;258
1000210229;31275
1000210230;5776
1000210231;22123
1000210232;3197
1000210233;11205
1000210234;250
1000210236;7698
1000210238;17072
1000210239;8310
1000210240;66682
1000210241;4175
1000210242;2504
1000210243;48646
1000210244;2914
1000210245;7698
1000210246;2842
1000210249;8171
1000210250;1
1000210251;44241
1000210252;6860
1000210253;1172
1000210254;16632
1000210255;15503
1000210256;4353
1000210257;4707
1000210258;8147
1000210260;33242
1000210261;2911
1000210262;7291
1000210263;2125
1000210264;16587
1000210265;3393
1000210266;1687
1000210267;8027
1000210268;3455
1000210269;2644
1000210270;10505
1000210271;7024
1000210272;20453
1000210273;100
1000210274;106
1000210275;11
1000210276;4401
1000210277;4814
1000210278;2775
1000210279;5978
1000210280;3680
1000210281;4770
1000210283;2639
1000210285;1334
1000210286;20211
1000210287;1208
1000210288;509
1000210289;11
1000210290;765
1000210291;2082
1000210292;8893
1000210293;144
1000210294;3117
1000210295;760
1000210296;4800
1000210297;3131
1000210298;6197
1000210299;6
1000210300;5257
1000210301;39625
1000210302;13911
1000210303;5587
1000210304;841
1000210305;9515
1000210306;28
1000210307;5387
1000210309;60542
1000210310;1727
1000210311;1958
1000210312;5937
1000210313;8242
1000210314;36741
1000210315;10903
1000210316;237
1000210317;2308
1000210318;1876
1000210319;16171
1000210320;3777
1000210321;13518
1000210322;5086
1000210323;9026
1000210324;173
1000210325;8
1000210326;2148
1000210327;31491
1000210328;14031
1000210329;5812
1000210330;2539
1000210332;8922
1000210333;9969
1000210334;807
1000210335;2940
1000210336;18716
1000210337;7354
1000210338;12362
1000210339;4257
1000210341;3591
1000210342;3560
1000210343;3255
1000210344;962
1000210345;3455
1000210347;918
1000210348;6494
1000210349;2274
1000210350;11
1000210351;3537
1000210352;3493
1000210353;1988
1000210354;27
1000210355;2260
1000210356;1146
1000210357;2230
1000210358;18476
1000210359;10
1000210360;1036
1000210361;48
1000210362;2758
1000210363;444
1000210364;1280
1000210365;4096
1000210366;63906
1000210367;9520
1000210369;43
1000210370;7641
1000210372;14
1000210373;7217
1000210375;2410
1000210376;2804
1000210377;2044
1000210378;1852
1000210379;1172
1000210380;8228
1000210382;12633
1000210383;17773
1000210384;5902
1000210385;8852
1000210386;3629
1000210387;4942
1000210388;11171
1000210389;4435
1000210390;20
1000210392;3289
1000210393;9981
1000210394;8034
1000210395;9731
1000210396;32006
1000210398;270
1000210399;937
1000210400;15132
1000210401;17
1000210402;3565
1000210404;3910
1000210405;4329
1000210406;4181
1000210407;2339
1000210408;85
1000210409;16371
1000210410;4271
1000210411;357
1000210412;57663
1000210413;1525
1000210414;8922
1000210415;3594
1000210416;14664
1000210417;9793
1000210418;4414
1000210419;14
1000210420;5225
1000210421;2396
1000210422;11661
1000210423;1119
1000210426;1133
1000210427;3078
1000210428;98453
1000210429;5594
1000210430;6455
1000210431;7411
1000210432;3577
1000210433;6604
1000210434;3393
1000210435;577375
1000210436;7570
1000210437;2002
1000210438;3138
1000210439;6225
1000210440;2260
1000210441;7719
1000210442;14694
1000210443;2817
1000210444;6422
1000210445;15372
1000210446;3837
1000210447;4501
1000210448;11727
1000210449;9826
1000210450;4409
1000210451;20787
1000210452;6394
1000210453;9355
1000210454;332
1000210455;24165
1000210456;4193
1000210457;3591
1000210458;6538
1000210459;22959
1000210460;12700
1000210461;6189
1000210462;4435
1000210463;4710
1000210464;11516
1000210465;9088
1000210466;3401
1000210467;5020
1000210468;13450
1000210469;1415
1000210470;3560
1000210471;4446
1000210472;2920
1000210474;4034
1000210476;7541
1000210477;5226
1000210478;3694
1000210479;5
1000210480;4058
1000210481;808
1000210482;4154
1000210483;2940
1000210484;705
1000210485;29681
1000210486;3076
1000210487;19663
1000210488;4488
1000210489;10
1000210490;37842
1000210491;24725
1000210492;6718
1000210493;7429
1000210494;6446
1000210495;3803
1000210497;16146
1000210498;3901
1000210499;6205
1000210500;17205
1000210501;2037
1000210502;1415
1000210503;1444
1000210504;913
1000210505;5372
1000210507;35
1000210508;391
1000210509;4319
1000210510;1580
1000210511;5151
1000210512;4656
1000210513;7024
1000210514;1312
1000210515;1984
1000210516;8786
1000210517;45953
1000210518;28
1000210519;3286
1000210520;9701
1000210522;7901
1000210523;3883
1000210524;4450
1000210525;13546
1000210526;6137
1000210528;7600
1000210529;5260
1000210530;769
1000210531;9470
1000210532;9279
1000210533;1360276
1000210534;6366
1000210535;5795
1000210536;17220
1000210537;6479
1000210538;10510
1000210539;9869
1000210540;9349
1000210541;285
1000210542;11641
1000210543;5955
1000210544;141
1000210545;2024
1000210546;3359
1000210547;4656
1000210548;10960
1000210549;4028
1000210550;4028
1000210551;10707
1000210552;6806
1000210553;23
1000210554;2103
1000210556;7670
1000210557;4459
1000210558;5058
1000210559;2102
1000210560;4271
1000210561;1134
1000210562;396
1000210563;4405
1000210564;7806
1000210565;2696
1000210566;1838
1000210567;9901
1000210568;7427
1000210569;9437
1000210570;8794
1000210571;1719
1000210573;6020
1000210575;53115
1000210576;4
1000210577;466
1000210578;1095
1000210579;1957
1000210580;4028
1000210582;3455
1000210583;4061
1000210584;4030
1000210585;8512
1000210586;4042
1000210587;1851
1000210588;4
1000210589;8828
1000210590;6526
1000210591;2157
1000210592;196
1000210593;9896
1000210594;122263
1000210595;6270
1000210596;6324
1000210597;7536
1000210598;11340
1000210599;3567
1000210600;4402
1000210601;3620
1000210602;10217
1000210603;4288
1000210604;10867
1000210605;73693
1000210606;6918
1000210607;39
1000210608;14529
1000210609;3179
1000210610;16
1000210611;48
1000210612;5053
1000210613;3557
1000210614;6961
1000210615;3859
1000210616;7442
1000210617;2896
1000210618;11315
1000210619;8591
1000210620;3516
1000210621;95
1000210622;4131
1000210623;7060
1000210624;8970
1000210625;6174
1000210626;9378
1000210627;17360
1000210628;34
1000210629;204
1000210630;5801
1000210631;11051
1000210632;13111
1000210634;4037
1000210635;3319
1000210636;1965
1000210638;2091
1000210639;11
1000210640;10070
1000210641;3348
1000210642;16244
1000210643;2673
1000210644;4725
1000210645;111
1000210646;11
1000210647;17330
1000210648;4953
1000210649;13034
1000210650;13586
1000210651;4606
1000210652;643
1000210653;4338
1000210654;3821
1000210655;3906
1000210656;8969
1000210657;28059
1000210658;16907
1000210659;3900
1000210661;188021
1000210662;12263
1000210663;7045
1000210664;7117
1000210665;22097
